Sno,Branch,Value (in Cr),Zone,State,lat,lon,country
608,Barh,8.999974223,Patna,Bihar,25.477974,85.709592,ind
609,Samastipur,4.560523182,Samastipur,Bihar,25.86199,85.769452,ind
610,Banaso,9.212675883,Tilaiya,Jharkhand,23.981978,85.77992,ind
611,Chaibasa,3.511834494,Bhadrak,Odisha,22.547325,85.806302,ind
612,Bhuban,3.592988018,Khurda,Odisha,20.889997,85.835738,ind
613,Barang,4.415602627,Khurda,Odisha,20.435755,85.837886,ind
614,Dalsinghsarai,9.251750335,Samastipur,Bihar,25.67371,85.838,ind
615,Sheikhpura,7.112136974,Patna,Bihar,25.141826,85.862059,ind
616,Balipatna,10.26747898,Khurda,Odisha,20.209294,85.869035,ind
617,Phulnakhara,12.02172386,Khurda,Odisha,20.365348,85.890352,ind
618,Suriya,11.70725629,Tilaiya,Jharkhand,24.181325,85.891031,ind
619,Ghatgaon,6.840722608,Bhadrak,Odisha,21.397579,85.899047,ind
620,Leheriyasarai,11.36598192,Samastipur,Bihar,26.11992,85.904823,ind
621,Benipatti,10.62305396,Samastipur,Bihar,26.447035,85.907831,ind
622,Gawan,8.784478804,Talaiya,Jharkhand,24.61821455,85.91565929,ind
623,Choudwar,9.292237233,Khurda,Odisha,20.448418,85.921395,ind
624,Karanjia,3.548262603,Bhadrak,Odisha,21.775661,85.964233,ind
625,Barauni,12.07253725,Samastipur,Bihar,25.47098,85.98058,ind
626,Rajdhanwar,9.411048474,Tilaiya,Jharkhand,24.41378,85.98137,ind
627,Duburi,11.04413201,Khurda,Odisha,20.99476915,85.98589619,ind
628,Deogaon,4.346150602,Bhadrak,Odisha,21.1785,86.005747,ind
629,Nimapara,12.2244299,Khurda,Odisha,20.0536724,86.0070547,ind
630,Petarwar,4.085780261,Ranchi,Jharkhand,23.669022,86.019717,ind
631,Rosera,4.181887898,Samastipur,Bihar,25.74747635,86.03417443,ind
632,Beheri,7.531690412,Samastipur,Bihar,25.950233,86.05041249,ind
633,Madhubani,10.45978612,Samastipur,Bihar,26.35319,86.08318,ind
634,Lakhisarai,9.597595958,Bhagalpur,Bihar,25.17207404,86.09329127,ind
635,Salepur,3.492614929,Khurda,Odisha,20.479062,86.09836,ind
636,Anandapur,9.316396306,Bhadrak,Odisha,21.18778,86.117497,ind
637,Manjhaul,5.305023717,Samastipur,Bihar,25.56732,86.12042,ind
638,Chandikhole,4.269490147,Khurda,Odisha,20.701523,86.136153,ind
639,Jajpur Road,2.820143084,Khurda,Odisha,20.940485,86.136559,ind
640,Jainagar,9.531111876,Samastipur,Bihar,26.5883988,86.1370148,ind
641,Benipur,5.309596364,Samastipur,Bihar,26.05909784,86.14659902,ind
